#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Product Type,Vendor,Product
61,CVE-2000-0025,,,,1999-12-21,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Internet Information Server
61,CVE-2000-0025,,,,1999-12-21,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Site Server
61,CVE-2000-0025,,,,1999-12-21,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Site Server Commerce
62,CVE-2000-0024,,,Bypass,1999-12-21,2018-10-12,6.4,None,Remote,Low,Not required,Partial,Partial,None,Application,Microsoft,Internet Information Server
62,CVE-2000-0024,,,Bypass,1999-12-21,2018-10-12,6.4,None,Remote,Low,Not required,Partial,Partial,None,Application,Microsoft,Site Server
62,CVE-2000-0024,,,Bypass,1999-12-21,2018-10-12,6.4,None,Remote,Low,Not required,Partial,Partial,None,Application,Microsoft,Site Server Commerce
63,CVE-2000-0023,,,DoS Overflow,1999-12-21,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Lotus,Domino Server
64,CVE-2000-0022,,,,1999-12-21,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Lotus,Domino Server
65,CVE-2000-0021,,,,1999-12-01,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Lotus,Domino Server
66,CVE-2000-0020,,,DoS,1999-12-20,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Man And Mice,Dns Pro
67,CVE-2000-0019,,,,1999-03-04,2008-09-10,2.1,None,Local,Low,Not required,Partial,None,None,Application,Ipswitch,Imail
68,CVE-2000-0018,,,'+Priv,1999-12-22,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Windowmaker,Wmmon
69,CVE-2000-0017,,,Overflow +Priv,1999-12-21,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,Redhat,Linux
70,CVE-2000-0016,,,DoS Exec Code Overflow,1999-10-01,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,True North,Internet Anywhere Mail Server
71,CVE-2000-0015,,,'+Priv,1999-12-31,2008-09-10,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Application,Ascend,Cascadeview Ux
72,CVE-2000-0014,,,DoS,1999-12-28,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Michael Lamont,Savant Webserver
73,CVE-2000-0013,,,'+Priv,1999-12-31,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SGI,Irix
74,CVE-2000-0012,,,Exec Code Overflow,1999-12-27,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Hughes,Msql
75,CVE-2000-0011,,,Exec Code Overflow,1999-12-31,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,Analogx,Simpleserver Www
76,CVE-2000-0010,,,Exec Code,1999-12-26,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Tony Greenwood,Webwho+
77,CVE-2000-0009,,,Exec Code,1999-12-29,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Nortel,Optivity Net Architect
78,CVE-2000-0008,,,,1999-12-26,2008-09-10,2.1,None,Local,Low,Not required,Partial,None,None,Application,1st Choice Software,Ftppro
79,CVE-2000-0007,,,DoS,1999-12-29,2018-05-02,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Trend Micro,Pc-cillin
80,CVE-2000-0006,,,,1999-12-25,2017-10-09,2.6,None,Local,High,Not required,Partial,Partial,None,OS,Linux,Linux Kernel
80,CVE-2000-0006,,,,1999-12-25,2017-10-09,2.6,None,Local,High,Not required,Partial,Partial,None,Application,Paul Kranenburg,Strace
81,CVE-2000-0005,,,'+Priv,1999-01-02,2018-05-02,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Hardware,HP,9000
81,CVE-2000-0005,,,'+Priv,1999-01-02,2018-05-02,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,HP,Aserver
81,CVE-2000-0005,,,'+Priv,1999-01-02,2018-05-02,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,HP,Hp-ux
82,CVE-2000-0004,,,,1999-12-01,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Zbsoft,Zbserver
83,CVE-2000-0003,,,Overflow +Priv,1999-12-30,2016-10-17,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,OS,SCO,Unixware
84,CVE-2000-0002,,,Exec Code Overflow,1999-12-22,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Zbsoft,Zbserver
85,CVE-2000-0001,,,DoS,1999-12-23,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Realnetworks,Realserver
86,CVE-1999-1592,,,,1999-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Sendmail,Sendmail
87,CVE-1999-1591,,,Bypass,1999-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Microsoft,Internet Information Server
87,CVE-1999-1591,,,Bypass,1999-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Microsoft,Visual Interdev
88,CVE-1999-1590,,,Dir. Trav.,1999-12-31,2008-09-05,3.5,None,Remote,Medium,Single system,Partial,None,None,Application,Wwwcount,Wwwcount
89,CVE-1999-1589,,,'+Priv,1999-12-31,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,IBM,AIX
90,CVE-1999-1588,,1.0,Exec Code Overflow,1999-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,SUN,Solaris
91,CVE-1999-1587,,,,1999-12-31,2018-10-30,2.1,None,Local,Low,Not required,Partial,None,None,OS,SUN,Solaris
91,CVE-1999-1587,,,,1999-12-31,2018-10-30,2.1,None,Local,Low,Not required,Partial,None,None,OS,SUN,Sunos
92,CVE-1999-1586,,,'+Priv,1999-12-31,2017-07-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SUN,Sunos
93,CVE-1999-1585,,,'+Priv,1999-12-31,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SUN,Sunos
94,CVE-1999-1584,,,'+Priv,1999-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,SUN,Openwindows
94,CVE-1999-1584,,,'+Priv,1999-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,SUN,Sunos
95,CVE-1999-1583,,,Exec Code Overflow,1999-09-30,2017-07-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,IBM,AIX
96,CVE-1999-1578,,,Exec Code Overflow,1999-09-24,2017-07-10,5.1,None,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,IE
97,CVE-1999-1577,,,Exec Code Overflow,1999-10-31,2017-07-10,5.1,None,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,IE
98,CVE-1999-1576,,,Exec Code Overflow,1999-09-27,2017-07-10,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Adobe,Acrobat Reader
99,CVE-1999-1575,,,Exec Code,1999-09-10,2018-10-12,5.1,None,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,IE
100,CVE-1999-1573,,,'+Priv,1999-12-28,2017-10-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,HP,Hp-ux
101,CVE-1999-1571,,,Overflow +Priv,1999-11-04,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SCO,Openserver
102,CVE-1999-1568,,,DoS,1999-01-01,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Ncftpd,Ncftpd Ftp Server
103,CVE-1999-1567,,,DoS,1999-03-08,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Seapine Software,Testtrack
104,CVE-1999-1566,,,DoS Overflow,1999-05-08,2008-09-05,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Intel,Iparty
105,CVE-1999-1565,,,,1999-08-20,2008-09-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial,OS,Debian,Debian Linux
105,CVE-1999-1565,,,,1999-08-20,2008-09-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Application,Earl Hood,Man2html
106,CVE-1999-1564,,,DoS,1999-09-02,2008-09-05,2.1,None,Local,Low,Not required,None,None,Partial,OS,Freebsd,Freebsd
107,CVE-1999-1562,,,,1999-09-05,2008-09-05,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Application,Gftp,Ftp Client
108,CVE-1999-1561,,,'+Priv,1999-08-20,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Nullsoft,Shoutcast Server
109,CVE-1999-1560,,,Exec Code,1999-07-20,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Tamu,Tiger
110,CVE-1999-1559,,,Bypass,1999-03-31,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,Hardware,Alcatel,Omniswitch
111,CVE-1999-1553,,,Exec Code Overflow,1999-05-01,2017-12-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Xcmail,Xcmail
112,CVE-1999-1551,,,DoS Exec Code Overflow,1999-03-02,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Ipswitch,Imail
113,CVE-1999-1550,,,,1999-11-08,2018-10-30,5.0,None,Remote,Low,Not required,Partial,None,None,OS,F5,Tmos
114,CVE-1999-1549,,,Exec Code,1999-11-16,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,Application,University Of Kansas,Lynx
115,CVE-1999-1548,,,DoS,1999-11-24,2017-02-15,5.0,None,Remote,Low,Not required,None,None,Partial,Hardware,Cabletron,Smartswitch Router 8000 Firmware
116,CVE-1999-1547,20.0,,Bypass,1999-11-25,2016-10-17,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,Oracle,Web Listener
117,CVE-1999-1546,,,,1999-01-29,2017-12-18,5.0,None,Remote,Low,Not required,Partial,None,None,Application,IBM,Navio Nc Browser
118,CVE-1999-1545,,,,1999-07-14,2016-10-17,2.1,None,Local,Low,Not required,Partial,None,None,Application,Joes Own Editor,JOE
119,CVE-1999-1544,,,DoS Overflow,1999-01-24,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Microsoft,Internet Information Server
120,CVE-1999-1543,,,,1999-07-10,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,OS,Apple,Mac Os
121,CVE-1999-1542,,,Exec Code,1999-10-04,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,Redhat,Linux
122,CVE-1999-1541,,,Exec Code,1999-10-04,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Cactus Software,Shell-lock
123,CVE-1999-1540,,,,1999-10-04,2017-12-18,2.1,None,Local,Low,Not required,Partial,None,None,Application,Cactus Software,Shell-lock
124,CVE-1999-1539,,,DoS Exec Code Overflow,1999-11-10,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Qpc Software,Qvt Net
124,CVE-1999-1539,,,DoS Exec Code Overflow,1999-11-10,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Qpc Software,Qvt Term Plus
125,CVE-1999-1538,,,,1999-01-14,2016-10-17,2.1,None,Local,Low,Not required,Partial,None,None,Application,Microsoft,Internet Information Server
126,CVE-1999-1537,,,DoS,1999-07-07,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Microsoft,Internet Information Server
127,CVE-1999-1536,,,'+Priv,1999-07-30,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Acushop,Salesbuilder
128,CVE-1999-1535,,,DoS Exec Code Overflow,1999-07-20,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Persits,Aspupload
129,CVE-1999-1534,,,Overflow,1999-09-23,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Knox Software,Arkeia
130,CVE-1999-1533,,,DoS,1999-11-07,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Trend Micro,Interscan Viruswall
131,CVE-1999-1532,,,DoS,1999-10-29,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Netscape,Messaging Server
132,CVE-1999-1531,,,Exec Code Overflow,1999-11-02,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,IBM,Homepageprint
133,CVE-1999-1530,,,,1999-11-08,2016-10-17,3.6,None,Local,Low,Not required,Partial,Partial,None,Hardware,SUN,Cobalt Raq 2
133,CVE-1999-1530,,,,1999-11-08,2016-10-17,3.6,None,Local,Low,Not required,Partial,Partial,None,Hardware,SUN,Cobalt Raq 3i
134,CVE-1999-1529,,,Exec Code Overflow,1999-11-07,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Trend Micro,Interscan Viruswall
135,CVE-1999-1528,,,,1999-11-14,2016-10-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Application,Prosoft Engineering,Netware Client
136,CVE-1999-1527,,,,1999-11-23,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,SUN,Forte
136,CVE-1999-1527,,,,1999-11-23,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,SUN,Netbeans Developer
137,CVE-1999-1526,,,,1999-03-11,2017-12-18,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Macromedia,Shockwave Flash Plugin
138,CVE-1999-1524,,,,1999-08-07,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,Hardware,Flowpoint,Flowpoint Dsl Router
139,CVE-1999-1523,,,DoS Exec Code Overflow,1999-10-04,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Sambar,Sambar Server
140,CVE-1999-1522,,,,1999-10-07,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Roxen,Roxen Web Server
141,CVE-1999-1521,,,Exec Code Overflow,1999-09-12,2017-12-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Computalynx,Cmail
142,CVE-1999-1520,,,'+Info,1999-05-11,2017-10-09,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Site Server
143,CVE-1999-1519,,,DoS,1999-11-17,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Gene6,G6 Ftp Server
144,CVE-1999-1518,,,DoS Bypass,1999-07-15,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Freebsd,Freebsd
144,CVE-1999-1518,,,DoS Bypass,1999-07-15,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Netbsd,Netbsd
145,CVE-1999-1517,,,,1999-11-01,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,Freebsd,Freebsd
146,CVE-1999-1516,,,Exec Code Overflow,1999-09-02,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Tenfour,Tfs Gateway Smtp
147,CVE-1999-1515,,,DoS,1999-08-31,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Tenfour,Tfs Gateway
148,CVE-1999-1513,,,,1999-08-30,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Hardware,3com,Superstack Ii Hub
