#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,CVE_Link
22,CVE-2000-0355,,,,1999-08-21,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0355/
23,CVE-2000-0353,,,Exec Code,1999-06-28,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0353/
24,CVE-2000-0352,,,Exec Code,1999-11-18,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0352/
25,CVE-2000-0333,,,DoS,1999-05-31,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0333/
26,CVE-2000-0330,,,Exec Code,1999-11-12,2018-10-12,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,/cve/CVE-2000-0330/
27,CVE-2000-0329,,,,1999-11-11,2018-10-12,5.1,User,Remote,High,Not required,Partial,Partial,Partial,/cve/CVE-2000-0329/
28,CVE-2000-0328,,,,1999-08-24,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0328/
29,CVE-2000-0327,,,Exec Code,1999-10-21,2018-10-12,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,/cve/CVE-2000-0327/
30,CVE-2000-0325,,,Exec Code,1999-08-20,2018-10-12,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0325/
31,CVE-2000-0323,,,,1999-07-28,2018-10-15,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,/cve/CVE-2000-0323/
32,CVE-2000-0165,,,Exec Code Overflow,1999-11-13,2018-05-02,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0165/
33,CVE-2000-0153,,,,1999-03-26,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0153/
34,CVE-2000-0139,,,DoS,1999-12-03,2016-10-17,2.1,None,Local,Low,Not required,None,None,Partial,/cve/CVE-2000-0139/
35,CVE-2000-0119,,,,1999-12-22,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0119/
36,CVE-2000-0118,,,,1999-06-09,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0118/
37,CVE-2000-0100,,,'+Priv,1999-12-29,2018-10-12,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0100/
38,CVE-2000-0076,,,,1999-12-30,2016-10-17,2.1,None,Local,Low,Not required,None,Partial,None,/cve/CVE-2000-0076/
39,CVE-2000-0073,,,DoS Overflow,1999-11-17,2018-10-12,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0073/
40,CVE-2000-0068,,,,1999-12-14,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0068/
41,CVE-2000-0060,,,DoS Overflow,1999-12-27,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0060/
42,CVE-2000-0054,,,,1999-01-03,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0054/
43,CVE-2000-0047,,,DoS Overflow,1999-10-01,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0047/
44,CVE-2000-0043,,,Exec Code Overflow,1999-12-30,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0043/
45,CVE-2000-0042,,,DoS Exec Code Overflow,1999-12-29,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0042/
46,CVE-2000-0041,,,,1999-12-28,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0041/
47,CVE-2000-0040,,,'+Priv,1999-12-23,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0040/
48,CVE-2000-0039,,,,1999-12-29,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0039/
49,CVE-2000-0038,,,,1999-12-23,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0038/
50,CVE-2000-0037,,,'+Priv,1999-12-28,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0037/
51,CVE-2000-0036,,,,1999-12-22,2018-10-12,5.0,None,Remote,Low,Not required,None,Partial,None,/cve/CVE-2000-0036/
52,CVE-2000-0035,,,'+Priv,1999-12-28,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0035/
53,CVE-2000-0034,,,,1999-12-22,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0034/
54,CVE-2000-0033,,,,1999-12-27,2008-09-10,5.0,None,Remote,Low,Not required,None,Partial,None,/cve/CVE-2000-0033/
55,CVE-2000-0032,,,,1999-12-22,2018-10-30,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0032/
56,CVE-2000-0030,,,,1999-12-22,2018-10-30,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0030/
57,CVE-2000-0029,,,'+Priv,1999-12-27,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0029/
58,CVE-2000-0028,,,Bypass,1999-12-23,2008-09-10,2.6,None,Remote,High,Not required,Partial,None,None,/cve/CVE-2000-0028/
59,CVE-2000-0027,,,'+Priv,1999-12-27,2008-09-10,6.2,Admin,Local,High,Not required,Complete,Complete,Complete,/cve/CVE-2000-0027/
60,CVE-2000-0026,,,Overflow,1999-12-21,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0026/
61,CVE-2000-0025,,,,1999-12-21,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0025/
62,CVE-2000-0024,,,Bypass,1999-12-21,2018-10-12,6.4,None,Remote,Low,Not required,Partial,Partial,None,/cve/CVE-2000-0024/
63,CVE-2000-0023,,,DoS Overflow,1999-12-21,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0023/
64,CVE-2000-0022,,,,1999-12-21,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0022/
65,CVE-2000-0021,,,,1999-12-01,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0021/
66,CVE-2000-0020,,,DoS,1999-12-20,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0020/
67,CVE-2000-0019,,,,1999-03-04,2008-09-10,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-2000-0019/
68,CVE-2000-0018,,,'+Priv,1999-12-22,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0018/
69,CVE-2000-0017,,,Overflow +Priv,1999-12-21,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0017/
70,CVE-2000-0016,,,DoS Exec Code Overflow,1999-10-01,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0016/
71,CVE-2000-0015,,,'+Priv,1999-12-31,2008-09-10,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0015/
72,CVE-2000-0014,,,DoS,1999-12-28,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0014/
73,CVE-2000-0013,,,'+Priv,1999-12-31,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0013/
74,CVE-2000-0012,,,Exec Code Overflow,1999-12-27,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0012/
75,CVE-2000-0011,,,Exec Code Overflow,1999-12-31,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-2000-0011/
76,CVE-2000-0010,,,Exec Code,1999-12-26,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0010/
77,CVE-2000-0009,,,Exec Code,1999-12-29,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0009/
78,CVE-2000-0008,,,,1999-12-26,2008-09-10,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-2000-0008/
79,CVE-2000-0007,,,DoS,1999-12-29,2018-05-02,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0007/
80,CVE-2000-0006,,,,1999-12-25,2017-10-09,2.6,None,Local,High,Not required,Partial,Partial,None,/cve/CVE-2000-0006/
81,CVE-2000-0005,,,'+Priv,1999-01-02,2018-05-02,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0005/
82,CVE-2000-0004,,,,1999-12-01,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-2000-0004/
83,CVE-2000-0003,,,Overflow +Priv,1999-12-30,2016-10-17,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0003/
84,CVE-2000-0002,,,Exec Code Overflow,1999-12-22,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-2000-0002/
85,CVE-2000-0001,,,DoS,1999-12-23,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-2000-0001/
86,CVE-1999-1592,,,,1999-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1592/
87,CVE-1999-1591,,,Bypass,1999-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1591/
88,CVE-1999-1590,,,Dir. Trav.,1999-12-31,2008-09-05,3.5,None,Remote,Medium,Single system,Partial,None,None,/cve/CVE-1999-1590/
89,CVE-1999-1589,,,'+Priv,1999-12-31,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1589/
90,CVE-1999-1588,,1,Exec Code Overflow,1999-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1588/
91,CVE-1999-1587,,,,1999-12-31,2018-10-30,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1587/
92,CVE-1999-1586,,,'+Priv,1999-12-31,2017-07-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1586/
93,CVE-1999-1585,,,'+Priv,1999-12-31,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1585/
94,CVE-1999-1584,,,'+Priv,1999-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1584/
95,CVE-1999-1583,,,Exec Code Overflow,1999-09-30,2017-07-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1583/
96,CVE-1999-1578,,,Exec Code Overflow,1999-09-24,2017-07-10,5.1,None,Remote,High,Not required,Partial,Partial,Partial,/cve/CVE-1999-1578/
97,CVE-1999-1577,,,Exec Code Overflow,1999-10-31,2017-07-10,5.1,None,Remote,High,Not required,Partial,Partial,Partial,/cve/CVE-1999-1577/
98,CVE-1999-1576,,,Exec Code Overflow,1999-09-27,2017-07-10,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1576/
99,CVE-1999-1575,,,Exec Code,1999-09-10,2018-10-12,5.1,None,Remote,High,Not required,Partial,Partial,Partial,/cve/CVE-1999-1575/
100,CVE-1999-1573,,,'+Priv,1999-12-28,2017-10-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1573/
101,CVE-1999-1571,,,Overflow +Priv,1999-11-04,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1571/
102,CVE-1999-1568,,,DoS,1999-01-01,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1568/
103,CVE-1999-1567,,,DoS,1999-03-08,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1567/
104,CVE-1999-1566,,,DoS Overflow,1999-05-08,2008-09-05,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1566/
105,CVE-1999-1565,,,,1999-08-20,2008-09-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1565/
106,CVE-1999-1564,,,DoS,1999-09-02,2008-09-05,2.1,None,Local,Low,Not required,None,None,Partial,/cve/CVE-1999-1564/
107,CVE-1999-1562,,,,1999-09-05,2008-09-05,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1562/
108,CVE-1999-1561,,,'+Priv,1999-08-20,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1561/
109,CVE-1999-1560,,,Exec Code,1999-07-20,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1560/
110,CVE-1999-1559,,,Bypass,1999-03-31,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1559/
111,CVE-1999-1553,,,Exec Code Overflow,1999-05-01,2017-12-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1553/
112,CVE-1999-1551,,,DoS Exec Code Overflow,1999-03-02,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1551/
113,CVE-1999-1550,,,,1999-11-08,2018-10-30,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1550/
114,CVE-1999-1549,,,Exec Code,1999-11-16,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1549/
115,CVE-1999-1548,,,DoS,1999-11-24,2017-02-15,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1548/
116,CVE-1999-1547,20,,Bypass,1999-11-25,2016-10-17,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1547/
117,CVE-1999-1546,,,,1999-01-29,2017-12-18,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1546/
118,CVE-1999-1545,,,,1999-07-14,2016-10-17,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1545/
119,CVE-1999-1544,,,DoS Overflow,1999-01-24,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1544/
120,CVE-1999-1543,,,,1999-07-10,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1543/
121,CVE-1999-1542,,,Exec Code,1999-10-04,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1542/
122,CVE-1999-1541,,,Exec Code,1999-10-04,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1541/
123,CVE-1999-1540,,,,1999-10-04,2017-12-18,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1540/
124,CVE-1999-1539,,,DoS Exec Code Overflow,1999-11-10,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1539/
125,CVE-1999-1538,,,,1999-01-14,2016-10-17,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1538/
126,CVE-1999-1537,,,DoS,1999-07-07,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1537/
127,CVE-1999-1536,,,'+Priv,1999-07-30,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1536/
128,CVE-1999-1535,,,DoS Exec Code Overflow,1999-07-20,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1535/
129,CVE-1999-1534,,,Overflow,1999-09-23,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1534/
130,CVE-1999-1533,,,DoS,1999-11-07,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1533/
131,CVE-1999-1532,,,DoS,1999-10-29,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1532/
132,CVE-1999-1531,,,Exec Code Overflow,1999-11-02,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1531/
133,CVE-1999-1530,,,,1999-11-08,2016-10-17,3.6,None,Local,Low,Not required,Partial,Partial,None,/cve/CVE-1999-1530/
134,CVE-1999-1529,,,Exec Code Overflow,1999-11-07,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1529/
135,CVE-1999-1528,,,,1999-11-14,2016-10-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1528/
136,CVE-1999-1527,,,,1999-11-23,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1527/
137,CVE-1999-1526,,,,1999-03-11,2017-12-18,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1526/
138,CVE-1999-1524,,,,1999-08-07,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1524/
139,CVE-1999-1523,,,DoS Exec Code Overflow,1999-10-04,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1523/
140,CVE-1999-1522,,,,1999-10-07,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1522/
141,CVE-1999-1521,,,Exec Code Overflow,1999-09-12,2017-12-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1521/
142,CVE-1999-1520,,,'+Info,1999-05-11,2017-10-09,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1520/
143,CVE-1999-1519,,,DoS,1999-11-17,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1519/
144,CVE-1999-1518,,,DoS Bypass,1999-07-15,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1518/
145,CVE-1999-1517,,,,1999-11-01,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1517/
146,CVE-1999-1516,,,Exec Code Overflow,1999-09-02,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1516/
147,CVE-1999-1515,,,DoS,1999-08-31,2017-12-18,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1515/
148,CVE-1999-1513,,,,1999-08-30,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1513/
149,CVE-1999-1512,,,Exec Code,1999-12-31,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1512/
150,CVE-1999-1511,,,DoS Exec Code Overflow,1999-11-10,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1511/
151,CVE-1999-1510,,,DoS Exec Code Overflow,1999-05-17,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1510/
152,CVE-1999-1509,,,Dir. Trav.,1999-11-04,2016-10-17,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1509/
153,CVE-1999-1508,,,,1999-11-16,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1508/
154,CVE-1999-1500,,,DoS,1999-10-01,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1500/
155,CVE-1999-1497,,,,1999-12-21,2008-09-05,7.2,None,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1497/
156,CVE-1999-1496,,,,1999-06-08,2017-12-18,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1496/
157,CVE-1999-1495,,,,1999-02-18,2017-12-18,2.1,None,Local,Low,Not required,None,None,Partial,/cve/CVE-1999-1495/
158,CVE-1999-1488,,,,1999-12-31,2008-09-05,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1488/
159,CVE-1999-1485,,,DoS,1999-05-31,2017-12-18,6.4,None,Remote,Low,Not required,Partial,None,Partial,/cve/CVE-1999-1485/
160,CVE-1999-1484,,,Exec Code Overflow,1999-09-24,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1484/
161,CVE-1999-1482,,,'+Priv,1999-02-19,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1482/
162,CVE-1999-1481,,,Bypass,1999-12-31,2017-10-09,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1481/
163,CVE-1999-1478,,,DoS,1999-07-06,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,/cve/CVE-1999-1478/
164,CVE-1999-1477,,,Overflow,1999-09-23,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1477/
165,CVE-1999-1476,,,DoS,1999-12-31,2017-10-09,2.1,None,Local,Low,Not required,None,None,Partial,/cve/CVE-1999-1476/
166,CVE-1999-1475,,,'+Priv,1999-11-19,2008-09-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1475/
167,CVE-1999-1474,,,,1999-12-31,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1474/
168,CVE-1999-1473,,,,1999-12-31,2008-09-05,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1473/
169,CVE-1999-1472,,,,1999-12-31,2017-10-09,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1472/
170,CVE-1999-1470,,,'+Priv,1999-06-24,2017-12-18,4.6,None,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1470/
171,CVE-1999-1469,,,Exec Code Overflow,1999-09-30,2016-10-17,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1469/
172,CVE-1999-1465,,,Bypass,1999-12-31,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1465/
173,CVE-1999-1464,,,Bypass,1999-12-31,2017-12-18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1464/
174,CVE-1999-1462,200,,'+Info,1999-12-31,2018-11-29,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1462/
175,CVE-1999-1460,,,,1999-07-13,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1460/
176,CVE-1999-1458,,,Overflow +Priv,1999-01-25,2017-12-18,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,/cve/CVE-1999-1458/
177,CVE-1999-1457,,,Exec Code Overflow,1999-11-16,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1457/
178,CVE-1999-1456,,,,1999-12-31,2017-10-09,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1456/
179,CVE-1999-1455,,,,1999-12-31,2017-10-09,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1455/
180,CVE-1999-1454,,,Bypass,1999-10-04,2016-10-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,/cve/CVE-1999-1454/
181,CVE-1999-1453,,,,1999-02-02,2016-10-17,2.6,None,Remote,High,Not required,Partial,None,None,/cve/CVE-1999-1453/
182,CVE-1999-1452,,,,1999-12-31,2017-10-09,2.1,None,Local,Low,Not required,Partial,None,None,/cve/CVE-1999-1452/
183,CVE-1999-1451,,,,1999-12-31,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,/cve/CVE-1999-1451/
